carat,cut,color,clarity,depth,table,price,x,y,z
1.28,Ideal,I,SI2,62.5,59.0,5719,6.88,6.95,4.32
0.27,Ideal,H,VS1,62.2,56.0,449,4.12,4.15,2.57
0.3,Ideal,F,IF,59.8,58.0,873,4.37,4.46,2.64
1.15,Premium,G,VS1,63.0,60.0,7032,6.68,6.6,4.18
0.72,Ideal,J,VS2,61.4,57.0,2099,5.76,5.8,3.55
1.01,Good,G,SI2,61.1,62.0,3948,6.38,6.48,3.93
1.6,Premium,F,SI2,61.8,57.0,6899,7.51,7.46,4.63
0.71,Ideal,F,SI2,61.8,57.0,2667,5.69,5.72,3.53
0.4,Very Good,F,VS1,62.2,57.6,1089,4.74,4.76,2.96
0.31,Ideal,H,IF,62.1,54.0,1046,4.37,4.33,2.7
1.07,Ideal,H,VS2,61.8,56.0,5108,6.52,6.55,4.04
0.33,Ideal,F,VS2,61.1,56.0,804,4.47,4.5,2.74
0.31,Ideal,G,VS2,62.1,55.0,577,4.35,4.38,2.71
0.3,Premium,G,VS1,62.5,59.0,787,4.32,4.25,2.68
0.96,Fair,H,I1,64.3,59.0,1739,6.38,5.88,3.98
0.32,Ideal,E,I1,60.7,57.0,490,4.45,4.41,2.69
0.49,Very Good,F,SI1,62.5,57.0,1116,4.99,5.02,3.13
1.03,Premium,G,VS1,62.2,57.0,6659,6.47,6.42,4.01
1.67,Very Good,J,SI1,62.3,59.0,7911,7.59,7.63,4.74
1.67,Premium,I,VS1,61.1,58.0,11400,7.69,7.6,4.67
0.7,Very Good,H,SI1,63.3,58.0,2048,5.61,5.64,3.56
1.5,Very Good,E,SI1,59.4,59.0,11325,7.42,7.49,4.43
0.28,Very Good,G,VS2,61.3,57.0,492,4.21,4.24,2.59
0.3,Good,G,VS2,63.1,57.0,526,4.24,4.28,2.69
0.56,Ideal,G,VVS2,61.6,56.0,2081,5.32,5.29,3.27
0.31,Ideal,D,VS1,60.6,57.0,713,4.36,4.39,2.65
0.3,Premium,E,VS2,62.0,60.0,844,4.26,4.23,2.63
1.21,Very Good,H,SI2,62.6,61.0,5324,6.7,6.75,4.21
1.2,Premium,H,SI1,62.2,58.0,5746,6.78,6.72,4.2
0.96,Fair,G,I1,64.5,60.0,2068,6.16,6.11,3.96
0.54,Ideal,F,VS1,61.8,54.0,1724,5.24,5.27,3.25
0.33,Ideal,F,VVS1,61.4,55.0,893,4.47,4.52,2.76
1.06,Premium,J,SI2,61.3,60.0,3740,6.59,6.52,4.02
1.07,Ideal,G,VS2,63.0,55.0,6471,6.55,6.5,4.11
1.52,Ideal,E,SI1,62.0,56.0,12907,7.36,7.34,4.56
0.32,Ideal,G,SI1,62.5,55.0,612,4.38,4.35,2.73
1.05,Very Good,E,VS1,63.1,59.0,7969,6.49,6.45,4.08
0.71,Premium,I,VS1,62.5,59.0,2202,5.75,5.71,3.58
1.09,Premium,H,SI2,61.2,62.0,4395,6.63,6.58,4.04
1.0,Fair,G,SI2,64.7,58.0,3541,6.24,6.19,4.02
1.08,Very Good,H,VS2,62.2,57.0,5155,6.5,6.55,4.06
0.9,Premium,F,SI1,62.6,60.0,4103,6.11,6.06,3.81
0.75,Premium,E,SI1,59.9,54.0,2760,6.0,5.96,3.58
0.23,Very Good,D,VS2,62.9,57.0,402,3.92,3.97,2.48
0.32,Ideal,G,VS2,61.5,55.0,580,4.39,4.43,2.71
0.34,Ideal,G,VS2,62.0,55.0,596,4.46,4.48,2.77
0.3,Premium,D,SI2,62.9,58.0,574,4.29,4.26,2.69
1.7,Ideal,E,SI1,60.1,57.0,14623,7.71,7.74,4.64
0.53,Ideal,G,VS2,61.6,56.0,1607,5.24,5.19,3.21
2.03,Premium,J,SI2,61.7,61.0,12078,8.18,8.04,5.0
0.7,Premium,G,VS2,62.9,62.0,2550,5.63,5.57,3.52
0.75,Ideal,G,SI1,62.2,57.0,2456,5.8,5.84,3.62
0.31,Ideal,D,VVS2,61.6,54.0,840,4.37,4.4,2.7
0.32,Very Good,J,SI1,63.2,56.0,480,4.36,4.31,2.74
0.9,Premium,E,SI2,60.4,59.0,3856,6.24,6.21,3.76
0.39,Premium,G,VS2,61.2,60.0,787,4.68,4.73,2.88
0.71,Premium,G,VS2,60.3,59.0,2443,5.79,5.76,3.48
0.31,Ideal,G,IF,61.9,56.0,988,4.39,4.36,2.71
0.7,Premium,F,SI1,62.1,58.0,2504,5.64,5.7,3.52
0.3,Ideal,I,VS1,61.5,58.0,454,4.28,4.31,2.64
1.3,Premium,D,SI2,61.5,58.0,7044,6.98,6.91,4.27
2.0,Ideal,I,VS1,62.3,56.0,12907,8.08,8.03,5.02
0.71,Ideal,E,VS2,61.7,56.0,2709,5.73,5.75,3.54
1.31,Premium,H,SI1,59.3,59.0,7395,7.18,7.13,4.24
1.01,Ideal,F,VVS2,61.6,56.0,8971,6.43,6.49,3.98
0.51,Premium,E,VS1,61.6,57.0,1989,5.13,5.1,3.15
1.5,Very Good,J,VS2,60.5,63.0,7308,7.32,7.27,4.41
0.51,Very Good,E,SI1,62.9,55.0,1284,5.06,5.12,3.2
0.74,Premium,D,SI1,60.6,60.0,2655,5.88,5.84,3.55
1.43,Fair,E,SI1,65.1,56.0,7928,7.1,7.03,4.61
0.9,Premium,I,VS1,60.7,58.0,3145,6.3,6.19,3.79
0.91,Premium,H,VS2,62.3,57.0,3963,6.22,6.13,3.85
0.76,Good,G,VS1,60.3,60.7,3121,5.86,5.9,3.55
1.06,Premium,I,SI1,62.9,60.0,4155,6.47,6.43,4.06
0.55,Very Good,D,SI1,61.6,56.0,1580,5.24,5.28,3.24
0.34,Premium,G,VS2,61.2,59.0,765,4.49,4.43,2.73
1.22,Very Good,G,VS1,61.2,58.0,9261,6.85,6.9,4.21
1.51,Premium,F,VS2,59.1,60.0,15253,7.52,7.45,4.42
0.5,Ideal,D,SI1,62.6,57.0,1654,5.1,5.06,3.18
1.17,Good,I,SI1,60.0,64.0,4586,6.91,6.83,4.12
1.17,Premium,I,SI1,62.6,58.0,4914,6.71,6.64,4.18
0.8,Good,E,VS2,63.3,59.0,3365,5.82,5.87,3.7
0.42,Ideal,D,VS1,62.3,57.0,1350,4.8,4.76,2.98
0.71,Premium,G,SI1,62.3,56.0,2283,5.69,5.65,3.53
0.8,Fair,G,SI2,61.2,58.0,2246,5.96,5.93,3.64
0.31,Ideal,G,VVS1,61.8,54.0,789,4.39,4.41,2.72
0.73,Premium,F,VS2,58.7,57.0,2882,5.97,5.92,3.49
1.21,Ideal,F,VS2,62.9,54.0,8557,6.82,6.78,4.28
0.3,Premium,G,VVS1,60.6,61.0,1013,4.35,4.33,2.63
0.77,Premium,E,VS2,60.5,59.0,3234,5.98,5.92,3.6
1.61,Premium,I,SI1,62.0,58.0,8978,7.46,7.51,4.64
0.55,Premium,E,SI2,59.7,58.0,1269,5.33,5.35,3.19
0.72,Premium,J,VS2,61.4,58.0,1944,5.76,5.74,3.53
0.37,Premium,H,VS1,60.9,60.0,833,4.63,4.6,2.81
0.3,Premium,G,VS1,61.9,59.0,605,4.3,4.32,2.67
1.55,Ideal,J,SI2,62.0,56.0,6805,7.42,7.38,4.59
0.37,Premium,F,VVS2,62.9,56.0,948,4.58,4.52,2.86
0.31,Premium,H,VS1,62.9,58.0,698,4.34,4.31,2.72
0.55,Ideal,F,SI2,61.7,55.0,1183,5.26,5.28,3.25
1.02,Premium,G,VS2,62.5,58.0,6301,6.41,6.46,4.02
0.23,Very Good,F,VVS2,61.4,56.0,583,3.94,3.97,2.43
1.01,Good,I,I1,63.1,57.0,2844,6.35,6.39,4.02
0.33,Premium,F,VS2,60.1,58.0,666,4.45,4.47,2.68
0.7,Fair,E,SI1,64.4,53.0,2697,5.61,5.57,3.6
0.62,Fair,F,VVS2,57.1,60.0,2088,5.65,5.7,3.24
0.32,Good,D,SI1,63.6,56.0,756,4.37,4.34,2.77
0.74,Ideal,I,SI1,61.3,56.0,2769,5.82,5.86,3.57
0.52,Ideal,H,VVS1,61.2,57.0,1809,5.17,5.22,3.18
0.95,Very Good,H,SI2,59.0,59.0,3335,6.38,6.51,3.77
0.51,Very Good,E,SI2,58.3,63.0,1265,5.21,5.26,3.05
0.32,Ideal,G,VS1,62.0,56.0,645,4.37,4.41,2.72
1.02,Premium,G,VS2,61.5,59.0,5250,6.4,6.45,3.95
0.77,Premium,E,VS1,60.8,56.0,3260,5.95,5.9,3.6
1.13,Very Good,F,SI1,61.2,59.0,5017,6.72,6.75,4.12
0.41,Premium,F,SI1,59.8,59.0,755,4.82,4.85,2.89
0.63,Ideal,J,SI1,61.8,56.0,1565,5.47,5.52,3.39
0.77,Ideal,D,VS2,61.8,56.0,3721,5.84,5.9,3.63
0.31,Premium,G,VVS1,60.5,60.0,816,4.33,4.4,2.64
0.71,Ideal,G,SI1,61.4,57.0,2386,5.76,5.71,3.52
1.2,Ideal,E,SI2,61.1,55.0,5494,6.9,6.87,4.21
1.01,Premium,G,VS1,62.6,59.0,6499,6.38,6.43,4.01
0.3,Very Good,G,VVS2,61.3,57.0,684,4.29,4.33,2.64
0.7,Ideal,D,SI2,62.1,55.0,2553,5.68,5.73,3.54
0.51,Premium,G,VS2,61.3,59.0,1443,5.17,5.11,3.15
0.32,Very Good,H,VS1,61.7,61.0,561,4.38,4.43,2.72
1.23,Very Good,E,VVS1,61.2,59.0,15878,6.9,6.98,4.25
0.51,Ideal,G,VS1,61.5,54.9,1708,5.13,5.25,3.17
0.3,Ideal,E,VS2,61.2,55.0,844,4.35,4.31,2.65
0.71,Ideal,G,SI1,61.6,56.0,2649,5.73,5.76,3.54
0.3,Premium,D,SI2,61.0,61.0,574,4.31,4.25,2.61
0.77,Ideal,E,SI1,61.0,56.0,3827,5.92,5.94,3.62
0.26,Very Good,D,VVS2,59.1,59.0,597,4.21,4.28,2.51
1.51,Ideal,I,VS2,62.3,57.0,9297,7.28,7.37,4.56
0.55,Premium,F,SI1,60.2,58.0,1410,5.31,5.35,3.21
2.25,Premium,J,SI1,61.8,61.0,16004,8.46,8.39,5.21
1.68,Premium,G,VS1,58.2,57.0,13445,7.89,7.85,4.58
1.09,Ideal,F,IF,61.6,55.0,11888,6.59,6.65,4.08
0.5,Ideal,F,SI2,61.6,54.0,1079,5.09,5.14,3.15
1.04,Good,F,VS1,63.2,57.0,7399,6.41,6.44,4.06
1.01,Premium,E,SI2,61.0,56.0,4371,6.42,6.36,3.9
0.31,Ideal,J,VS1,61.9,54.7,429,4.34,4.36,2.69
1.23,Premium,I,VS2,61.1,60.0,6206,6.95,6.89,4.23
1.51,Good,I,SI1,63.7,61.0,8097,7.11,7.15,4.54
0.31,Ideal,H,SI1,61.3,56.0,464,4.36,4.39,2.68
0.34,Premium,E,SI2,59.9,59.0,477,4.55,4.57,2.73
1.21,Good,H,SI1,58.2,58.0,6022,6.98,7.01,4.07
2.04,Ideal,J,SI1,59.1,59.0,12554,8.29,8.24,4.88
0.56,Very Good,G,SI1,61.8,55.0,1361,5.28,5.33,3.28
0.92,Good,G,SI2,63.8,57.0,2677,6.19,6.13,3.93
1.51,Premium,I,SI2,62.6,59.0,7292,7.31,7.28,4.57
0.42,Premium,E,SI1,62.0,58.0,722,4.82,4.85,3.0
0.85,Very Good,E,VS2,63.6,56.0,3997,5.97,6.01,3.81
0.59,Ideal,G,VS2,62.1,57.0,1774,5.36,5.39,3.34
0.42,Ideal,F,VS1,61.0,57.0,1031,4.84,4.87,2.96
0.4,Good,F,VVS1,60.6,62.0,1080,4.71,4.73,2.86
0.25,Very Good,G,VVS1,60.6,55.0,525,4.12,4.14,2.5
0.28,Ideal,H,IF,63.0,55.0,586,4.14,4.19,2.62
0.71,Good,G,VS1,58.1,59.0,2628,5.85,5.92,3.42
0.55,Very Good,F,VS2,62.1,55.4,1777,5.25,5.27,3.26
0.52,Premium,E,SI1,60.3,58.0,1369,5.2,5.24,3.15
0.71,Ideal,D,VS2,62.1,56.0,3321,5.71,5.75,3.56
1.0,Ideal,F,SI2,61.3,56.0,4452,6.46,6.43,3.95
0.31,Ideal,E,SI1,60.6,56.0,595,4.39,4.42,2.67
1.52,Premium,E,VS1,60.6,58.0,16628,7.38,7.44,4.49
0.7,Ideal,D,VVS2,62.0,53.4,4369,5.69,5.72,3.54
0.91,Ideal,E,SI1,60.7,56.0,3665,6.26,6.22,3.79
1.22,Very Good,G,VVS2,59.3,58.0,9706,6.97,6.99,4.14
1.2,Premium,F,SI1,60.1,59.0,7282,6.92,6.85,4.14
0.5,Very Good,D,VS2,63.4,57.0,1627,5.05,5.08,3.21
1.46,Premium,D,SI2,62.0,55.0,8683,7.32,7.23,4.51
2.21,Premium,H,SI2,61.3,60.0,14299,8.35,8.33,5.11
0.34,Good,D,SI1,63.1,57.0,626,4.44,4.46,2.81
1.05,Premium,H,SI2,62.8,56.0,3352,6.54,6.47,4.08
0.73,Premium,H,SI2,61.2,59.0,1699,5.83,5.77,3.55
0.52,Ideal,G,VVS2,61.4,55.3,1957,5.18,5.21,3.19
2.06,Ideal,H,SI2,62.0,57.0,11040,8.1,8.06,5.01
1.51,Very Good,H,VS2,62.4,55.6,12108,7.28,7.33,4.56
2.0,Fair,I,SI2,65.9,57.0,10833,7.96,7.79,5.19
1.11,Good,D,SI2,58.0,62.0,5015,6.77,6.81,3.94
1.01,Premium,F,VVS2,61.8,55.0,8688,6.45,6.36,3.96
0.31,Ideal,D,VS2,62.2,56.0,942,4.36,4.32,2.7
0.4,Ideal,H,SI2,62.6,55.0,540,4.7,4.72,2.95
1.51,Ideal,J,VS1,61.6,58.0,8067,7.35,7.43,4.55
0.58,Ideal,D,SI2,61.7,54.0,1356,5.4,5.43,3.34
1.0,Good,D,SI2,64.3,59.0,4065,6.21,6.3,4.02
0.3,Fair,F,VS2,56.3,64.0,729,4.44,4.39,2.5
0.82,Very Good,J,SI2,62.0,58.0,2175,5.93,5.98,3.69
0.71,Very Good,E,VS2,58.5,57.0,2630,5.87,5.9,3.44
0.44,Good,J,VS1,63.2,57.0,694,4.82,4.86,3.06
1.05,Premium,G,SI2,60.1,60.0,3828,6.58,6.66,3.98
2.52,Premium,H,SI2,62.4,57.0,17522,8.72,8.66,5.43
0.61,Premium,E,SI1,60.1,59.0,1812,5.51,5.48,3.3
0.4,Good,E,SI1,63.2,56.0,687,4.65,4.69,2.95
0.28,Ideal,F,SI1,60.6,55.0,481,4.26,4.3,2.6
0.34,Ideal,E,VS2,62.5,55.0,745,4.46,4.5,2.8
0.42,Ideal,D,SI1,61.7,56.0,1040,4.83,4.79,2.97
1.25,Ideal,H,SI2,61.6,55.0,6030,6.89,6.94,4.26
1.05,Very Good,H,SI2,63.8,58.0,4112,6.38,6.45,4.09
1.11,Premium,I,SI1,61.9,58.0,3978,6.63,6.61,4.1
1.02,Ideal,G,VVS2,59.2,58.0,8107,6.56,6.62,3.9
0.81,Ideal,F,SI1,61.5,57.0,3422,6.01,6.06,3.71
0.71,Very Good,I,VS2,61.1,60.0,2384,5.72,5.77,3.51
0.3,Ideal,D,VS1,61.6,54.0,718,4.34,4.36,2.68
0.42,Ideal,H,IF,61.9,56.0,1216,4.79,4.81,2.97
1.14,Very Good,D,SI1,60.2,60.0,7106,6.7,6.85,4.08
1.04,Very Good,F,SI2,62.4,54.0,4364,6.46,6.53,4.05
0.41,Ideal,G,SI1,62.6,54.0,923,4.78,4.74,2.98
0.83,Ideal,H,SI2,61.8,57.0,1863,6.08,5.99,3.73
1.55,Ideal,G,SI2,60.7,55.0,9530,7.54,7.51,4.57
0.9,Fair,D,SI2,66.0,58.0,3205,6.0,5.97,3.95
1.16,Premium,H,SI1,61.9,59.0,5091,6.73,6.74,4.17
0.59,Ideal,I,VS1,61.8,55.0,1401,5.41,5.43,3.35
1.53,Premium,J,IF,61.1,58.0,9596,7.45,7.41,4.54
0.91,Premium,H,VS2,59.6,60.0,3921,6.25,6.29,3.74
0.29,Very Good,F,VVS2,60.2,58.0,664,4.29,4.35,2.6
0.75,Premium,F,VS2,59.6,59.0,2835,6.04,5.94,3.57
0.93,Good,D,SI2,61.4,63.0,4165,6.22,6.26,3.83
1.12,Premium,F,SI2,60.5,59.0,4570,6.73,6.79,4.09
0.41,Ideal,E,SI1,61.5,55.0,711,4.78,4.81,2.95
0.56,Very Good,G,SI1,61.1,56.0,1408,5.32,5.34,3.26
0.45,Ideal,G,VVS1,61.5,57.0,1297,4.91,4.95,3.03
1.0,Premium,D,SI1,61.4,58.0,5096,6.4,6.34,3.91
0.57,Premium,D,VS2,61.7,60.0,2047,5.32,5.28,3.27
0.57,Ideal,G,VS2,61.8,56.0,1728,5.35,5.3,3.29
1.23,Very Good,I,SI1,60.5,58.0,5763,6.9,6.94,4.19
1.06,Very Good,G,VS2,60.1,58.0,6212,6.64,6.67,4.0
0.52,Ideal,E,VS2,61.5,56.0,1576,5.18,5.2,3.19
0.7,Ideal,D,VS1,62.6,58.0,3287,5.64,5.67,3.54
0.3,Ideal,E,VS2,61.8,56.0,658,4.29,4.32,2.66
0.9,Very Good,F,SI2,62.0,61.0,3770,6.14,6.16,3.81
1.2,Premium,F,VS2,62.1,54.0,8796,6.77,6.73,4.19
0.34,Premium,G,VS2,61.3,58.0,765,4.53,4.51,2.77
0.73,Premium,I,VS2,59.7,59.0,2246,5.81,5.94,3.51
0.33,Premium,G,VVS2,61.9,58.0,965,4.43,4.39,2.73
1.07,Very Good,G,VS2,62.9,59.0,6525,6.49,6.52,4.09
0.4,Good,D,SI2,63.9,53.0,798,4.71,4.68,3.0
1.2,Very Good,G,VS1,62.5,57.0,8150,6.84,6.75,4.25
1.15,Premium,I,SI1,62.2,56.0,4637,6.77,6.67,4.18
0.31,Ideal,D,VVS2,61.7,54.0,815,4.38,4.43,2.72
0.7,Premium,G,VS1,61.4,59.0,2535,5.74,5.59,3.51
0.4,Very Good,G,VS1,60.4,57.0,760,4.76,4.77,2.88
1.01,Very Good,E,SI1,62.8,59.0,5416,6.41,6.45,4.04
1.2,Premium,H,SI1,60.8,60.0,6282,6.9,6.85,4.18
0.31,Good,E,VVS1,60.9,61.0,725,4.32,4.35,2.64
0.27,Very Good,G,IF,60.8,57.0,566,4.2,4.22,2.56
1.23,Very Good,H,VVS1,62.5,58.0,8405,6.77,6.82,4.25
0.51,Premium,G,SI2,60.8,59.0,1052,5.2,5.19,3.16
0.39,Ideal,F,SI1,61.3,56.0,919,4.69,4.72,2.88
1.2,Ideal,I,SI2,59.6,61.0,4890,6.95,6.97,4.15
0.91,Good,H,VS1,63.4,56.0,4298,6.12,6.18,3.9
1.22,Premium,E,SI2,61.5,58.0,6237,6.81,6.85,4.2
0.27,Very Good,E,VS2,61.3,58.0,470,4.13,4.16,2.54
0.52,Ideal,F,VS2,61.1,56.0,1625,5.19,5.23,3.18
1.01,Premium,F,VS1,61.2,59.0,7982,6.48,6.42,3.95
0.3,Ideal,H,VS2,62.4,55.0,491,4.28,4.31,2.68
1.51,Good,H,VS2,64.0,59.0,10000,7.25,7.19,4.62
0.33,Premium,I,VVS2,61.5,58.0,743,4.45,4.43,2.73
1.07,Ideal,G,VVS2,62.4,54.0,8393,6.51,6.56,4.08
0.61,Premium,D,SI1,61.6,58.0,1614,5.37,5.34,3.3
0.83,Ideal,E,SI1,61.5,55.0,4024,6.05,6.08,3.73
1.12,Ideal,D,I1,60.6,55.0,4139,6.73,6.76,4.09
0.78,Good,E,SI2,64.0,57.0,2379,5.84,5.81,3.73
1.61,Very Good,J,SI1,61.7,60.0,7695,7.45,7.5,4.61
0.27,Very Good,G,VS1,61.0,54.0,439,4.19,4.21,2.56
0.55,Ideal,F,VS2,61.2,55.0,1580,5.28,5.3,3.24
0.31,Very Good,E,SI1,63.1,57.0,698,4.31,4.28,2.71
0.4,Ideal,E,VVS2,61.4,59.0,1106,4.71,4.74,2.9
0.9,Ideal,F,VS2,60.5,54.0,4531,6.22,6.17,3.75
0.81,Ideal,G,VS1,62.3,57.0,3544,5.99,5.95,3.72
0.32,Premium,F,VVS1,62.7,60.0,990,4.35,4.32,2.72
0.39,Ideal,D,VVS2,62.1,56.0,1212,4.65,4.69,2.9
0.34,Ideal,H,SI1,61.3,57.0,526,4.54,4.55,2.78
1.02,Premium,G,VS2,62.0,57.0,5581,6.48,6.43,4.0
1.23,Ideal,I,VS2,62.4,58.0,6817,6.81,6.88,4.27
0.62,Very Good,F,VS2,59.8,58.0,2041,5.55,5.59,3.33
1.51,Premium,F,SI1,63.0,58.0,11957,7.32,7.28,4.6
0.46,Ideal,J,VVS1,61.8,56.0,1018,4.97,4.93,3.06
0.9,Premium,I,VS1,62.9,60.0,3484,6.09,6.05,3.82
0.41,Very Good,I,VVS2,61.3,60.0,811,4.77,4.82,2.94
1.01,Very Good,G,SI1,63.4,58.0,5051,6.29,6.4,4.02
1.01,Very Good,H,SI1,63.4,59.0,4836,6.34,6.28,4.0
0.51,Ideal,F,SI2,60.2,55.0,1191,5.19,5.24,3.14
0.41,Premium,F,SI2,60.8,58.0,830,4.83,4.78,2.92
0.3,Ideal,D,SI1,62.0,56.0,552,4.3,4.34,2.68
1.0,Good,G,VS1,63.9,55.0,5920,6.28,6.34,4.03
1.01,Fair,I,SI1,65.5,58.0,3280,6.28,6.24,4.1
0.31,Ideal,G,VS1,62.1,55.0,625,4.33,4.37,2.7
0.31,Premium,F,VS2,62.3,60.0,625,4.32,4.35,2.7
0.9,Ideal,G,SI1,62.5,55.0,4260,6.17,6.21,3.87
0.46,Very Good,G,VS1,62.8,57.0,1049,4.92,4.83,3.06
1.51,Ideal,J,VS2,61.7,57.0,7847,7.44,7.4,4.58
1.14,Premium,H,SI1,60.7,58.0,5003,6.76,6.82,4.12
1.52,Premium,G,VVS1,60.4,59.0,16104,7.48,7.38,4.49
0.89,Premium,G,SI1,61.1,58.0,3190,6.24,6.17,3.79
0.42,Ideal,G,VS2,60.8,57.0,847,4.82,4.85,2.94
0.41,Very Good,D,SI1,64.1,54.0,689,4.72,4.74,3.03
0.9,Very Good,F,VS2,62.6,58.0,4681,6.08,6.13,3.82
0.3,Very Good,E,VVS1,60.5,57.0,862,4.37,4.39,2.65
0.3,Ideal,I,VVS1,61.1,57.0,709,4.36,4.32,2.65
0.4,Good,D,VS2,63.2,57.0,786,4.65,4.71,2.96
1.51,Very Good,I,SI1,63.0,59.0,8758,7.26,7.31,4.59
0.5,Good,E,SI2,58.2,59.0,1098,5.24,5.27,3.06
0.32,Ideal,E,VS2,61.6,55.0,900,4.42,4.41,2.72
0.32,Very Good,F,VVS1,59.4,59.0,886,4.45,4.47,2.65
0.43,Premium,G,VVS2,62.2,55.0,1129,4.84,4.81,3.0
0.3,Very Good,G,VVS2,63.2,57.0,878,4.27,4.24,2.69
2.01,Fair,F,SI1,58.6,95.0,13387,8.32,8.31,4.87
1.12,Ideal,J,SI1,62.4,57.0,4840,6.65,6.6,4.14
0.32,Very Good,G,VS2,60.2,57.0,561,4.42,4.45,2.67
0.7,Good,F,SI2,59.0,57.0,2100,5.8,5.83,3.43
1.03,Premium,D,VVS2,61.7,59.0,8469,6.43,6.48,3.98
0.7,Good,F,SI1,57.2,63.0,2401,5.84,5.87,3.35
1.35,Good,I,VS2,59.2,65.0,5610,7.18,7.13,4.23
0.38,Ideal,E,VVS1,62.4,56.0,1267,4.64,4.67,2.9
0.3,Very Good,D,VS2,62.5,59.0,710,4.23,4.28,2.66
0.87,Ideal,D,SI1,62.6,56.0,4108,6.17,6.08,3.84
1.2,Ideal,H,VS2,62.2,55.0,6956,6.76,6.85,4.23
1.73,Premium,I,VS1,61.8,58.0,13250,7.75,7.68,4.76
1.31,Premium,H,SI2,61.7,59.0,4548,7.03,6.98,4.32
0.44,Very Good,E,VS1,59.7,59.0,1090,4.94,5.01,2.97
0.52,Very Good,E,SI1,62.7,57.0,1389,5.1,5.14,3.21
0.35,Ideal,F,VS2,60.5,57.0,906,4.6,4.52,2.76
0.34,Ideal,E,SI1,61.2,57.0,637,4.48,4.51,2.75
0.31,Very Good,G,SI2,63.0,57.0,408,4.32,4.35,2.73
1.51,Fair,H,SI1,55.8,61.0,7509,7.72,7.63,4.28
1.0,Premium,F,SI1,60.6,62.0,5410,6.43,6.4,3.89
0.9,Good,D,SI1,61.9,64.0,3567,6.0,6.09,3.74
0.33,Ideal,D,SI2,62.9,56.0,631,4.43,4.41,2.78
0.27,Ideal,E,VS1,61.6,55.0,470,4.16,4.18,2.57
0.71,Premium,D,SI2,61.6,60.0,2317,5.7,5.64,3.49
0.9,Fair,F,VS2,64.7,54.0,3931,6.09,6.03,3.92
2.0,Good,I,VS1,58.8,65.0,15851,8.1,8.03,4.74
0.51,Premium,H,SI2,62.9,56.0,1125,5.08,5.06,3.19
0.6,Ideal,G,SI2,59.1,56.0,1250,5.58,5.52,3.28
1.23,Very Good,H,SI1,63.0,55.0,5665,6.72,6.78,4.27
0.71,Ideal,H,SI2,62.1,57.0,2122,5.68,5.76,3.55
1.03,Ideal,F,SI1,62.6,57.0,5366,6.42,6.46,4.03
1.01,Premium,D,SI1,58.1,61.0,5147,6.66,6.59,3.85
0.52,Ideal,G,VVS2,60.9,56.0,1858,5.22,5.26,3.19
0.9,Very Good,D,SI1,60.4,59.0,4846,6.21,6.24,3.76
1.21,Ideal,I,SI2,60.6,56.0,5091,6.92,6.94,4.2
1.08,Ideal,I,SI1,62.6,53.9,5049,6.51,6.56,4.09
1.01,Premium,G,VS2,62.4,59.0,5787,6.45,6.41,4.01
0.72,Very Good,H,VS1,62.8,56.0,2206,5.72,5.77,3.61
0.3,Ideal,D,VS2,61.8,55.0,911,4.34,4.3,2.67
1.07,Ideal,E,SI1,60.4,57.0,4973,6.62,6.56,3.98
0.31,Ideal,I,VS2,59.9,57.0,558,4.4,4.38,2.63
1.14,Very Good,E,IF,63.3,57.0,12647,6.63,6.71,4.22
1.2,Ideal,H,SI1,62.1,56.0,6518,6.83,6.76,4.22
2.28,Premium,H,SI1,59.3,58.0,13919,8.6,8.56,5.09
0.43,Premium,G,SI1,62.7,56.0,968,4.83,4.8,3.02
1.0,Premium,F,SI1,63.0,60.0,4234,6.34,6.24,3.97
0.7,Ideal,E,SI2,62.0,56.0,2061,5.71,5.74,3.55
0.4,Very Good,G,VVS2,59.2,63.0,945,4.88,4.81,2.87
0.42,Ideal,E,VVS2,61.3,56.0,1216,4.81,4.85,2.96
0.32,Ideal,D,VS2,61.9,57.0,972,4.39,4.37,2.71
0.55,Ideal,I,SI1,61.3,56.0,1367,5.29,5.34,3.26
0.31,Ideal,G,VS2,61.7,55.0,544,4.35,4.37,2.69
0.32,Ideal,H,VVS2,62.2,54.0,628,4.42,4.46,2.76
1.18,Premium,I,VS1,62.6,59.0,5477,6.73,6.71,4.21
0.3,Premium,D,VS2,60.9,58.0,911,4.35,4.32,2.64
0.54,Ideal,I,VS2,61.9,56.0,1260,5.2,5.26,3.24
1.17,Premium,G,VS1,60.6,60.0,7666,6.81,6.79,4.12
0.57,Ideal,G,VS1,62.1,56.0,1949,5.33,5.3,3.3
0.3,Premium,G,VVS1,62.6,58.0,1013,4.29,4.27,2.68
1.18,Ideal,E,VS1,61.4,57.0,11104,6.77,6.81,4.17
0.51,Very Good,F,VVS2,62.0,55.0,2041,5.11,5.14,3.17
2.22,Ideal,J,VS1,61.8,59.0,16689,8.34,8.37,5.16
0.41,Premium,G,VS1,61.5,58.0,961,4.8,4.76,2.94
0.32,Very Good,H,VVS2,61.6,55.0,645,4.42,4.44,2.73
2.08,Premium,G,SI2,62.2,60.0,12883,8.16,8.09,5.06
0.43,Fair,E,VS2,60.5,59.0,1107,4.92,4.9,2.97
0.53,Ideal,F,VS1,61.2,56.0,1830,5.22,5.24,3.2
1.2,Very Good,G,VVS2,60.7,60.0,9169,6.8,6.84,4.14
